Planting,State,ID,Share Code,Source,Type,Store Name,Store Brand,Farmer,Farm Practices,Variety,Quality in field,Damage,Quality in lab,Color,Size cm,Brix,Dry Mass % (x 100),Polyphenols,Antioxidants,"Crop, Sodium (noisy)","Crop, Magnesium (noisy)","Crop, Aluminum","Crop, Silicon","Crop, Phosphorous","Crop, Sulfur","Crop, Chlorine","Crop, Potassium","Crop, Calcium","Crop, Manganese","Crop, Iron","Crop, Nickel","Crop, Copper","Crop, Zinc","Crop, Arsenic","Crop, Selenium","Crop, Molybdenum","Crop, Lead",Soil 0-10cm Organic Matter %,Soil 0-10cm Total Organic Carbon %,Soil 0-10cm pH,Soil 0-10cm Soil Respiration,"Soil 0-10cm, Sodium (noisy)","Soil 0-10cm, Magnesium (noisy)","Soil 0-10cm, Aluminum","Soil 0-10cm, Silicon %","Soil 0-10cm, Phosphorous","Soil 0-10cm, Sulfur","Soil 0-10cm, Potassium","Soil 0-10cm, Calcium","Soil 0-10cm, Titanium","Soil 0-10cm, Vanadium","Soil 0-10cm, Chromium","Soil 0-10cm, Manganese","Soil 0-10cm, Iron","Soil 0-10cm, Nickel","Soil 0-10cm, Copper","Soil 0-10cm, Zinc","Soil 0-10cm, Arsenic","Soil 0-10cm, Selenium","Soil 0-10cm, Rubidium","Soil 0-10cm, Strontium","Soil 0-10cm, Molybdenum","Soil 0-10cm, Lead",Soil 10-20cm Organic Matter %,Soil 10-20cm Total Organic Carbon %,Soil 10-20cm pH,Soil 10-20cm Soil Respiration,"Soil 10-20cm, Sodium (noisy)","Soil 10-20cm, Magnesium (noisy)","Soil 10-20cm, Aluminum","Soil 10-20cm, Silicon %","Soil 10-20cm, Phosphorous","Soil 10-20cm, Sulfur","Soil 10-20cm, Potassium","Soil 10-20cm, Calcium","Soil 10-20cm, Titanium","Soil 10-20cm, Vanadium","Soil 10-20cm, Chromium","Soil 10-20cm, Manganese","Soil 10-20cm, Iron","Soil 10-20cm, Nickel","Soil 10-20cm, Copper","Soil 10-20cm, Zinc","Soil 10-20cm, Arsenic","Soil 10-20cm, Selenium","Soil 10-20cm, Rubidium","Soil 10-20cm, Strontium","Soil 10-20cm, Molybdenum","Soil 10-20cm, Lead",Shipping time hrs,Processing time hrs,Total time hrs,Maturity days,Sweetness (0-5 scale),Flavor (0-5 scale),Overall Taste (0-5 scale)
,michigan,3250,0,store,kale,meijer,,,none,,none,,yes,green,,,0.161,85.49,5483.22,7.47,35.08,0.43,3.59,43.16,122.38,26.78,272.01,336.57,0.03,2.54,0.10,0.03,0.37,0.00,0.02,0.30,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3251,0,store,kale,meijer,,,none,,,,yes,green,,,0.127,66.21,2321.63,10.70,68.45,0.45,3.62,42.88,143.86,60.52,256.57,615.13,-0.46,2.33,0.14,0.01,0.31,0.00,0.03,0.25,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3252,0,store,kale,meijer,,,none,,,,yes,green,,,0.124,109.5,5252.93,,,,,,,,,,,,,,,0.00,0.03,0.29,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3262.1,0,store,grape,meijer,sun_pacific,,none,,none,,yes,green,22,,0.197,24.86,1248.34,,,,,,,,,,,,,,,0.01,0.03,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3262.2,0,store,grape,meijer,sun_pacific,,none,,none,,yes,green,18,,0.176,24.9,1120.34,,,,,,,,,,,,,,,0.00,0.02,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3262.3,0,store,grape,meijer,sun_pacific,,none,,none,,yes,green,20,,0.187,18.81,854.22,,,,,,,,,,,,,,,0.00,0.02,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3264.1,0,store,kale,meijer,meijer,,none,,none,,yes,green,,8.8,0.131,124.78,17453.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3264.2,0,store,kale,meijer,meijer,,none,,none,,yes,green,,5.5,0.157,132.01,18693.6,,,,,,,,,,,,,,,0.00,0.02,-0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3264.3,0,store,kale,meijer,meijer,,none,,none,,yes,green,,6,0.151,90.5,11900.4,,,,,,,,,,,,,,,0.00,0.03,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3271.1,0,store,spinach,meijer,church_brothers_farms,,none,,none,,yes,green,,,0.079,67,1090.11,15.65,74.80,0.45,4.46,31.22,31.16,71.84,492.20,83.04,0.45,1.70,0.08,0.03,0.50,0.00,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3271.2,0,store,spinach,meijer,church_brothers_farms,,none,,none,,yes,green,,,0.061,81.86,1418.02,-9.65,134.27,0.54,6.66,25.51,25.46,58.11,681.48,135.35,0.42,2.01,0.09,0.03,0.44,0.00,0.04,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3271.3,0,store,spinach,meijer,church_brothers_farms,,none,,none,,yes,green,,,0.082,69.67,1237.72,9.34,62.77,0.45,4.43,31.69,29.98,57.82,469.05,74.63,0.52,2.32,0.08,0.03,0.47,0.00,0.03,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3261.1,0,store,carrot,meijer,bolthouse_farms,,none,,none,,yes,orange,24,7.5,0.119,4.33,93.73,12.52,56.68,0.53,3.62,74.16,43.87,61.49,362.27,50.54,0.70,0.77,0.08,0.08,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3261.2,0,store,carrot,meijer,bolthouse_farms,,none,,none,,yes,orange,24,7.4,0.106,3.56,107.07,,,,,,,,,,,,,,,0.00,0.01,-0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3261.3,0,store,carrot,meijer,bolthouse_farms,,none,,none,,yes,orange,20,8.8,0.133,6.44,68.72,15.66,39.49,0.45,4.24,49.16,13.30,39.23,286.38,37.51,0.87,1.13,0.04,0.06,0.60,0.00,0.01,-0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3260.1,0,store,lettuce,meijer,foxy,,certified_organic,,none,,yes,green,,,0.081,12.7,231.14,11.20,20.73,0.27,1.99,19.64,14.09,30.63,206.03,43.12,0.53,4.80,0.04,0.04,0.19,0.00,0.03,-0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3260.2,0,store,lettuce,meijer,foxy,,certified_organic,,none,,yes,green,,,,21.41,298.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3260.3,0,store,lettuce,meijer,foxy,,certified_organic,,none,,yes,green,3260.3,,0.091,10.01,204.13,7.19,19.81,0.20,1.92,22.91,11.33,15.69,175.28,16.48,0.28,0.88,0.03,0.04,0.21,0.00,0.01,0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3263.2,0,store,cherry_tomato,meijer,sunset,,certified_organic other biologique,,none,,yes,red,24,4.1,0.043,29.53,1887.3,8.16,10.44,0.24,1.78,21.51,14.07,46.61,183.33,17.93,0.22,0.24,0.04,0.02,0.16,0.00,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3263.3,0,store,cherry_tomato,meijer,sunset,,certified_organic other biologique,,none,,yes,red,23,5.3,0.056,27.2,1500.42,10.11,12.19,0.20,1.93,20.42,6.23,29.81,171.17,13.84,0.23,0.34,0.02,0.03,0.17,0.00,0.01,0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,michigan,3263.1,0,store,cherry_tomato,meijer,sunset,,certified_organic other biologique,,none,,yes,red,25,5.3,0.06,32.42,2571.45,9.13,-0.16,0.24,1.58,20.19,11.85,40.75,169.72,13.63,0.21,0.21,0.02,0.04,0.17,0.00,0.01,-0.01,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,connecticut,2169.3,0,store,carrot,fitzgeralds,green_giant,,none,,none,,yes,orange,30,6.9,0.1,12.05,47.15,,,,,,,,,,,,,,,0.00,0.02,0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,connecticut,2169.1,0,store,carrot,fitzgeralds,green_giant,,none,,none,,yes,orange,37,7.4,0.115,8.17,49.55,,,,,,,,,,,,,,,0.00,0.01,0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,connecticut,2169.2,0,store,carrot,fitzgeralds,green_giant,,none,,none,,yes,orange,22,8,0.14,7.62,43.47,,,,,,,,,,,,,,,0.00,0.01,-0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,new_york,3304,0,farm_market,carrot,,,bruno farm stand,,,none,,yes,green,,8,0.138,98.52,11287.7,,,,,,,,,,,,,,,0.00,0.02,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.31,54.36,167.67000000000002,,,,
,california,3000.1,0,store,carrot,fruit_basket,unknown,,none,,damage,,yes,orange,30,8.9,0.117,8.91,38.53,,,,,,,,,,,,,,,0.00,0.01,0.01,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,california,3000.2,0,store,carrot,fruit_basket,unknown,,none,,damage,,yes,orange,28,7.1,0.108,8.21,72.73,,,,,,,,,,,,,,,0.00,0.01,0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,california,3000.3,0,store,carrot,fruit_basket,unknown,,none,,damage,,yes,orange,26,5.2,0.113,9.81,24.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,california,3000c,0,store,spinach,fruit_basket,green_magic_vegetables,,local,,none,,rotten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,california,3000b,0,store,cherry_tomato,fruit_basket,unknown,,local,,none,,rotten,orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,california,3029.1,0,store,carrot,whole_foods,unknown,,certified_organic,,none,,yes,orange,18,6.9,0.096,13.21,102.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,california,3029.3,0,store,carrot,whole_foods,unknown,,certified_organic,,none,,yes,orange,19,8.3,0.12,9.09,29.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,california,3029.2,0,store,carrot,whole_foods,unknown,,certified_organic,,none,,yes,orange,20,8.3,0.144,8.38,39.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,california,3029c,0,store,spinach,whole_foods,lakeside_organic_gardens,,certified_organic,,damage,,rotten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,california,3029b,0,store,cherry_tomato,whole_foods,durst_organic_growers,,certified_organic local,,none,,rotten,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3
,california,3025,0,store,grape,whole_foods,anthonys_organic,,certified_organic local,,none,,yes,purple,16,,0.248,62.65,1135.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4
,california,3334,0,farm_market,lettuce,,,Sebastopol Farmers Market,certified_organic notill nospray biodynamic,,none,,yes,green,,1.4,0.032,16.71,248.98,,,,,,,,,,,,,,,0.00,0.01,-0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.78,22.84,97.62,,4,5,5
,california,3333,0,farm_market,kale,,,Sebastopol Farmers Market,certified_organic notill nospray biodynamic,,none,,yes,green yellow,,9.1,0.142,160.09,12414.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.46,119.07,192.52999999999997,,3,5,5
,california,3339,0,farm_market,carrot,,,Sebastopol Farmers Market,certified_organic notill nospray biodynamic,,none,,yes,orange yellow,28,7,0.106,21.44,68.53,,,,,,,,,,,,,,,0.00,0.02,-0.03,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.49,430.26,525.75,,4,4,4
,california,3340,0,farm_market,lettuce,,,Sebastopol Farmers Market,certified_organic notill nospray biodynamic,red_butter,none,,yes,green purple,,,0.047,38.12,901.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.27,186.21,281.48,,5,5,5
,new_york,3315,0,farm_market,kale,,,,certified_organic,,none,,yes,green yellow,,5.2,0.113,68.01,29330.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.58,261.49,313.07,,3,5,4
,new_york,3361,0,farm_market,kale,,,,certified_organic,,,,yes,purple,24,17.4,0.197,649.54,1082.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.58,121.4,172.98000000000002,,3,5,4
,north_carolina,3519,0,store,carrot,trader_joes,trader_joes,,none,,none,,yes,orange,18,4,0.096,8.7,58.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.31,339.33,427.64,,3,4,4
,north_carolina,3537,0,store,carrot,trader_joes,trader_joes,,none,,,,yes,orange,14,4,0.1,7.65,73.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.31,338.92,427.23,,3,4,4
,north_carolina,3556,0,farm_market,grape,,,Lees One Fortune Farm,nospray,scuppernong,none,,yes,green,25,15.3,0.174,103.92,14996.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.81,80.53,150.34,,,,
,north_carolina,3557,0,farm_market,grape,,,Lees One Fortune Farm,nospray,scuppernong,,,yes,green,27,15.9,0.178,111.75,18473.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.81,80.2,150.01,,,,
,north_carolina,3558,0,farm_market,grape,,,Lees One Fortune Farm,nospray,scuppernong,,,yes,green,29,14.8,0.168,91.02,9891.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.81,152.36,222.17000000000002,,,,
,washington,3468,0,farm_market,kale,,,Sumas River Farm,certified_organic cover_crops,redbor,none,,rotten,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,canada,3469,0,farm_market,carrot,,,Thomas Schneider,biodynamic cover_crops notill,sugarsnax,none,,yes,orange,27,7.2,0.094,19.2,50.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4
,maine,2363.1,0,store,carrot,hannaford,,,none,,none,,yes,orange,29,8.4,0.106,7.98,50.66,,,,,,,,,,,,,,,0.00,0.01,0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maine,2363.2,0,store,carrot,hannaford,,,none,,none,,yes,orange,30,6.4,0.095,13.53,94.84,,,,,,,,,,,,,,,0.00,0.02,-0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maine,2363.3,0,store,carrot,hannaford,,,none,,none,,yes,orange,26,,0.116,26.41,82.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maine,2364,0,store,spinach,hannaford,hannaford,,none,,none,,yes,green,,4.2,0.07,130.58,1266.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.5,51.65,161.15,,,,
,maine,2362,0,store,carrot,hannaford,hannaford,,certified_organic,,none,,yes,orange,33,8.6,0.146,6.94,55.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.98,148.23,281.21,,,,
,maine,2361,0,store,spinach,hannaford,hannaford,,certified_organic,,none,,yes,green,,6,0.096,106.04,208.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.92,27.46,160.38,,,,
,maine,2365,0,farm_market,cherry_tomato,,,Goranson Farm,certified_organic cover_crops,,none,,yes,red,21,12.3,0.098,32.74,4839.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.15,78.57,187.72,,,,
,maine,2366,0,farm_market,cherry_tomato,,,Goranson Farm,certified_organic cover_crops,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maine,2367,0,farm_market,cherry_tomato,,,Goranson Farm,certified_organic cover_crops,,,,yes,red orange,28,7.4,0.094,40.4,5895.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.15,78.89,188.04000000000002,,,,
,maine,2368.1,0,farm_market,lettuce,,,Goranson Farm,certified_organic,,spotted,,yes,green white,,1.9,0.043,115.42,1209.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maine,2368.2,0,farm_market,lettuce,,,Goranson Farm,certified_organic,,spotted,,yes,green white,,,0.038,21.61,486.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maine,2368.3,0,farm_market,lettuce,,,Goranson Farm,certified_organic,,spotted,,yes,green white,,,0.043,8.1,300.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maine,2369.1,0,farm_market,spinach,,,Bumbleroot Farm,certified_organic,,none,,yes,green,,2.1,0.072,40.15,1235.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maine,2369.2,0,farm_market,spinach,,,Bumbleroot Farm,certified_organic,,none,,yes,green,,4.7,0.09,58.16,695.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
